日期Date	指数代码Index Code	指数中文全称Index Chinese Name(Full)	指数中文简称Index Chinese Name	指数英文全称Index English Name(Full)	指数英文简称Index Chinese Name	开盘Open	最高High	最低Low	收盘Close	涨跌Change	涨跌幅(%)Change(%)	成交量（万手）Volume(M Shares)	成交金额（亿元）Turnover	样本数量ConsNumber
20220708	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	942.55	961.21	942.55	949.73	10.76	1.15	1211.86	93.28	50
20220711	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	947.46	947.46	930.03	934.34	-15.39	-1.62	1244.61	87.35	50
20220712	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	936.47	936.47	925.27	925.27	-9.08	-0.97	948.28	75.22	50
20220713	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	928.93	941.46	926.71	931.42	6.16	0.67	903.19	73.63	50
20220714	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	927.89	933.30	923.65	928.27	-3.16	-0.34	799.83	63.53	50
20220715	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	926.85	926.85	904.26	904.31	-23.95	-2.58	1060.25	80.51	50
20220718	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	903.58	927.80	903.58	927.37	23.06	2.55	1042.66	81.12	50
20220719	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	927.79	943.80	927.30	943.48	16.11	1.74	1157.25	89.18	50
20220720	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	948.16	954.78	944.62	947.91	4.42	0.47	1055.45	83.27	50
20220721	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	948.95	963.58	945.65	955.67	7.76	0.82	1313.02	119.03	50
20220722	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	954.83	957.87	934.95	941.90	-13.77	-1.44	988.74	86.24	50
20220725	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	942.28	947.21	926.99	930.76	-11.14	-1.18	767.44	60.44	50
20220726	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	934.75	947.76	934.33	947.49	16.74	1.80	853.73	67.53	50
20220727	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	944.92	948.64	941.88	942.96	-4.54	-0.48	804.46	67.44	50
20220728	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	946.99	953.11	942.10	942.49	-0.47	-0.05	825.31	68.09	50
20220729	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	943.99	948.88	929.80	930.98	-11.51	-1.22	940.34	79.11	50
20220801	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	929.89	934.33	920.16	933.66	2.68	0.29	739.45	63.18	50
20220802	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	924.72	924.72	884.14	895.24	-38.42	-4.11	1353.73	99.38	50
20220803	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	894.94	907.81	881.73	883.16	-12.08	-1.35	993.25	76.04	50
20220804	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	889.21	896.46	883.19	896.45	13.29	1.51	835.35	61.91	50
20220805	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	897.90	920.73	897.53	920.52	24.07	2.68	998.00	80.62	50
20220808	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	917.87	920.33	912.44	916.91	-3.61	-0.39	749.21	58.33	50
20220809	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	916.33	916.33	905.82	913.35	-3.55	-0.39	681.17	52.99	50
20220810	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	910.40	910.72	901.38	905.30	-8.05	-0.88	699.58	57.85	50
20220811	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	909.25	934.99	909.25	934.86	29.56	3.26	1271.12	101.94	50
20220812	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	936.19	945.22	931.03	942.31	7.45	0.80	1115.17	92.98	50
20220815	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	940.42	940.42	931.64	934.68	-7.63	-0.81	887.53	74.92	50
20220816	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	934.79	935.65	924.22	928.98	-5.70	-0.61	796.76	70.61	50
20220817	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	930.34	944.16	924.29	944.16	15.18	1.63	1152.68	99.41	50
20220818	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	940.48	940.48	922.58	927.12	-17.05	-1.81	1029.77	91.74	50
20220819	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	926.70	949.81	926.46	932.64	5.53	0.60	1469.83	122.77	50
20220822	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	929.83	947.40	918.40	945.35	12.70	1.36	1444.99	115.67	50
20220823	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	943.15	945.65	933.58	936.06	-9.29	-0.98	1118.21	91.01	50
20220824	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	935.30	944.74	919.83	921.27	-14.79	-1.58	1276.87	103.51	50
20220825	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	926.39	926.97	906.47	925.94	4.68	0.51	1178.71	94.17	50
20220826	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	926.58	937.54	922.00	923.83	-2.11	-0.23	1116.29	93.34	50
20220829	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	910.99	921.97	906.88	921.20	-2.64	-0.29	990.03	78.19	50
20220830	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	918.44	938.39	918.39	930.25	9.05	0.98	1130.69	89.18	50
20220831	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	928.04	946.35	924.20	926.07	-4.18	-0.45	1534.10	125.37	50
20220901	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	924.67	929.51	909.89	910.93	-15.13	-1.63	1118.49	89.88	50
20220902	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	911.61	931.75	911.60	927.69	16.75	1.84	1157.39	88.97	50
20220905	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	926.81	926.81	904.28	910.58	-17.11	-1.84	1107.23	87.15	50
20220906	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	911.05	913.67	903.41	913.63	3.05	0.33	820.63	64.49	50
20220907	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	909.60	909.60	894.21	896.75	-16.88	-1.85	986.29	75.08	50
20220908	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	898.78	903.17	890.73	891.31	-5.45	-0.61	807.94	63.73	50
20220909	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	891.34	897.17	885.08	896.44	5.13	0.58	727.50	56.23	50
20220913	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	897.57	905.24	896.17	897.44	1.00	0.11	720.70	57.66	50
20220914	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	885.15	893.11	883.63	888.33	-9.11	-1.01	725.96	52.04	50
20220915	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	891.92	899.56	873.57	880.85	-7.48	-0.84	996.34	80.56	50
20220916	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	879.39	884.95	863.08	863.10	-17.75	-2.01	949.15	77.68	50
20220919	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	862.00	862.88	841.37	847.57	-15.53	-1.80	838.89	67.33	50
20220920	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	851.11	857.54	847.93	851.00	3.43	0.40	625.85	48.82	50
20220921	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	847.53	858.58	834.68	856.42	5.42	0.64	730.89	56.59	50
20220922	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	850.19	854.52	842.65	842.73	-13.69	-1.60	681.48	48.69	50
20220923	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	842.87	843.39	823.11	827.92	-14.81	-1.76	795.16	60.98	50
20220926	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	820.23	827.43	812.74	813.79	-14.14	-1.71	819.95	56.56	50
20220927	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	816.50	841.12	816.22	840.48	26.69	3.28	837.96	63.79	50
20220928	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	837.27	837.84	823.40	823.50	-16.98	-2.02	776.68	58.28	50
20220929	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	831.08	833.61	805.36	808.40	-15.10	-1.83	769.12	59.02	50
20220930	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	807.50	815.95	804.37	806.70	-1.70	-0.21	694.14	49.51	50
20221010	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	807.17	807.29	788.20	789.75	-16.95	-2.10	704.10	50.55	50
20221011	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	788.77	790.06	775.27	786.79	-2.96	-0.38	667.42	48.23	50
20221012	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	785.91	803.73	776.76	803.73	16.94	2.15	852.34	59.14	50
20221013	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	798.36	813.49	795.80	805.93	2.20	0.27	855.87	58.43	50
20221014	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	810.78	827.25	810.76	823.16	17.22	2.14	853.30	64.43	50
20221017	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	819.84	832.36	819.16	829.96	6.80	0.83	822.64	56.87	50
20221018	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	832.75	833.38	824.51	825.70	-4.26	-0.51	693.57	52.85	50
20221019	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	822.79	823.38	813.92	814.10	-11.60	-1.40	584.05	43.62	50
20221020	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	812.33	827.19	809.46	818.59	4.49	0.55	702.09	53.66	50
20221021	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	818.77	818.95	803.80	805.26	-13.33	-1.63	606.59	47.29	50
20221024	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	805.00	815.86	776.78	781.51	-23.75	-2.95	911.20	62.38	50
20221025	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	779.19	783.25	764.67	771.26	-10.25	-1.31	740.48	51.87	50
20221026	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	773.35	797.45	773.35	789.26	18.00	2.33	866.55	61.34	50
20221027	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	792.65	807.85	792.52	802.00	12.75	1.62	976.07	67.45	50
20221028	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	798.98	798.98	771.37	773.64	-28.36	-3.54	1124.49	75.63	50
20221031	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	767.42	789.14	767.42	783.14	9.50	1.23	1129.24	71.32	50
20221101	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	784.35	807.26	779.38	807.05	23.91	3.05	1164.52	79.86	50
20221102	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	820.85	834.96	820.85	829.58	22.53	2.79	1751.97	133.70	50
20221103	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	818.70	823.19	812.63	818.27	-11.31	-1.36	1113.35	80.17	50
20221104	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	817.85	841.68	817.45	836.87	18.61	2.27	1278.68	92.61	50
20221107	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	832.51	859.30	829.49	853.79	16.91	2.02	1395.79	108.48	50
